x,y,cell,state,abbr,fips
1,1,1,none,NA,NA
2,1,2,none,NA,NA
3,1,3,none,NA,NA
4,1,4,none,NA,NA
5,1,5,none,NA,NA
6,1,6,none,NA,NA
7,1,7,none,NA,NA
8,1,8,none,NA,NA
9,1,9,none,NA,NA
10,1,10,none,NA,NA
11,1,11,none,NA,NA
12,1,12,none,NA,NA
13,1,13,none,NA,NA
14,1,14,none,NA,NA
15,1,15,none,NA,NA
16,1,16,none,NA,NA
17,1,17,none,NA,NA
18,1,18,none,NA,NA
19,1,19,none,NA,NA
20,1,20,none,NA,NA
21,1,21,none,NA,NA
22,1,22,none,NA,NA
23,1,23,none,NA,NA
24,1,24,none,NA,NA
25,1,25,none,NA,NA
26,1,26,none,NA,NA
27,1,27,none,NA,NA
28,1,28,none,NA,NA
29,1,29,none,NA,NA
30,1,30,none,NA,NA
31,1,31,none,NA,NA
32,1,32,none,NA,NA
33,1,33,none,NA,NA
34,1,34,none,NA,NA
35,1,35,none,NA,NA
36,1,36,Florida,FL,12
37,1,37,Florida,FL,12
38,1,38,Florida,FL,12
39,1,39,Florida,FL,12
40,1,40,none,NA,NA
41,1,41,none,NA,NA
42,1,42,none,NA,NA
43,1,43,none,NA,NA
44,1,44,none,NA,NA
45,1,45,none,NA,NA
46,1,46,none,NA,NA
47,1,47,none,NA,NA
48,1,48,none,NA,NA
1,2,49,none,NA,NA
2,2,50,none,NA,NA
3,2,51,none,NA,NA
4,2,52,none,NA,NA
5,2,53,none,NA,NA
6,2,54,none,NA,NA
7,2,55,none,NA,NA
8,2,56,none,NA,NA
9,2,57,Hawaii,HI,15
10,2,58,Hawaii,HI,15
11,2,59,none,NA,NA
12,2,60,none,NA,NA
13,2,61,none,NA,NA
14,2,62,none,NA,NA
15,2,63,none,NA,NA
16,2,64,none,NA,NA
17,2,65,none,NA,NA
18,2,66,none,NA,NA
19,2,67,none,NA,NA
20,2,68,none,NA,NA
21,2,69,none,NA,NA
22,2,70,none,NA,NA
23,2,71,none,NA,NA
24,2,72,none,NA,NA
25,2,73,none,NA,NA
26,2,74,none,NA,NA
27,2,75,none,NA,NA
28,2,76,none,NA,NA
29,2,77,none,NA,NA
30,2,78,none,NA,NA
31,2,79,none,NA,NA
32,2,80,none,NA,NA
33,2,81,none,NA,NA
34,2,82,none,NA,NA
35,2,83,Florida,FL,12
36,2,84,Florida,FL,12
37,2,85,Florida,FL,12
38,2,86,Florida,FL,12
39,2,87,Florida,FL,12
40,2,88,none,NA,NA
41,2,89,none,NA,NA
42,2,90,none,NA,NA
43,2,91,none,NA,NA
44,2,92,none,NA,NA
45,2,93,none,NA,NA
46,2,94,none,NA,NA
47,2,95,none,NA,NA
48,2,96,none,NA,NA
1,3,97,none,NA,NA
2,3,98,none,NA,NA
3,3,99,none,NA,NA
4,3,100,none,NA,NA
5,3,101,none,NA,NA
6,3,102,none,NA,NA
7,3,103,none,NA,NA
8,3,104,Hawaii,HI,15
9,3,105,none,NA,NA
10,3,106,none,NA,NA
11,3,107,none,NA,NA
12,3,108,none,NA,NA
13,3,109,none,NA,NA
14,3,110,none,NA,NA
15,3,111,none,NA,NA
16,3,112,none,NA,NA
17,3,113,none,NA,NA
18,3,114,none,NA,NA
19,3,115,none,NA,NA
20,3,116,none,NA,NA
21,3,117,none,NA,NA
22,3,118,none,NA,NA
23,3,119,none,NA,NA
24,3,120,none,NA,NA
25,3,121,none,NA,NA
26,3,122,none,NA,NA
27,3,123,none,NA,NA
28,3,124,none,NA,NA
29,3,125,none,NA,NA
30,3,126,none,NA,NA
31,3,127,none,NA,NA
32,3,128,none,NA,NA
33,3,129,none,NA,NA
34,3,130,Florida,FL,12
35,3,131,Florida,FL,12
36,3,132,Florida,FL,12
37,3,133,Florida,FL,12
38,3,134,Florida,FL,12
39,3,135,Florida,FL,12
40,3,136,none,NA,NA
41,3,137,none,NA,NA
42,3,138,none,NA,NA
43,3,139,none,NA,NA
44,3,140,none,NA,NA
45,3,141,none,NA,NA
46,3,142,none,NA,NA
47,3,143,none,NA,NA
48,3,144,none,NA,NA
1,4,145,none,NA,NA
2,4,146,none,NA,NA
3,4,147,Alaska,AK,02
4,4,148,none,NA,NA
5,4,149,none,NA,NA
6,4,150,none,NA,NA
7,4,151,Hawaii,HI,15
8,4,152,none,NA,NA
9,4,153,none,NA,NA
10,4,154,none,NA,NA
11,4,155,none,NA,NA
12,4,156,none,NA,NA
13,4,157,none,NA,NA
14,4,158,none,NA,NA
15,4,159,none,NA,NA
16,4,160,none,NA,NA
17,4,161,none,NA,NA
18,4,162,none,NA,NA
19,4,163,none,NA,NA
20,4,164,none,NA,NA
21,4,165,none,NA,NA
22,4,166,none,NA,NA
23,4,167,none,NA,NA
24,4,168,none,NA,NA
25,4,169,none,NA,NA
26,4,170,none,NA,NA
27,4,171,none,NA,NA
28,4,172,none,NA,NA
29,4,173,none,NA,NA
30,4,174,none,NA,NA
31,4,175,none,NA,NA
32,4,176,none,NA,NA
33,4,177,Florida,FL,12
34,4,178,Florida,FL,12
35,4,179,Florida,FL,12
36,4,180,Florida,FL,12
37,4,181,Florida,FL,12
38,4,182,Florida,FL,12
39,4,183,none,NA,NA
40,4,184,none,NA,NA
41,4,185,none,NA,NA
42,4,186,none,NA,NA
43,4,187,none,NA,NA
44,4,188,none,NA,NA
45,4,189,none,NA,NA
46,4,190,none,NA,NA
47,4,191,none,NA,NA
48,4,192,none,NA,NA
1,5,193,none,NA,NA
2,5,194,Alaska,AK,02
3,5,195,Alaska,AK,02
4,5,196,none,NA,NA
5,5,197,none,NA,NA
6,5,198,none,NA,NA
7,5,199,none,NA,NA
8,5,200,none,NA,NA
9,5,201,none,NA,NA
10,5,202,none,NA,NA
11,5,203,none,NA,NA
12,5,204,none,NA,NA
13,5,205,none,NA,NA
14,5,206,none,NA,NA
15,5,207,none,NA,NA
16,5,208,none,NA,NA
17,5,209,none,NA,NA
18,5,210,none,NA,NA
19,5,211,none,NA,NA
20,5,212,none,NA,NA
21,5,213,none,NA,NA
22,5,214,none,NA,NA
23,5,215,none,NA,NA
24,5,216,none,NA,NA
25,5,217,none,NA,NA
26,5,218,none,NA,NA
27,5,219,none,NA,NA
28,5,220,none,NA,NA
29,5,221,none,NA,NA
30,5,222,Florida,FL,12
31,5,223,Florida,FL,12
32,5,224,Florida,FL,12
33,5,225,Florida,FL,12
34,5,226,Florida,FL,12
35,5,227,Florida,FL,12
36,5,228,Florida,FL,12
37,5,229,Florida,FL,12
38,5,230,none,NA,NA
39,5,231,none,NA,NA
40,5,232,none,NA,NA
41,5,233,none,NA,NA
42,5,234,none,NA,NA
43,5,235,none,NA,NA
44,5,236,none,NA,NA
45,5,237,none,NA,NA
46,5,238,none,NA,NA
47,5,239,none,NA,NA
48,5,240,none,NA,NA
1,6,241,none,NA,NA
2,6,242,none,NA,NA
3,6,243,none,NA,NA
4,6,244,none,NA,NA
5,6,245,none,NA,NA
6,6,246,none,NA,NA
7,6,247,none,NA,NA
8,6,248,none,NA,NA
9,6,249,none,NA,NA
10,6,250,none,NA,NA
11,6,251,none,NA,NA
12,6,252,none,NA,NA
13,6,253,Texas,TX,48
14,6,254,Texas,TX,48
15,6,255,none,NA,NA
16,6,256,none,NA,NA
17,6,257,none,NA,NA
18,6,258,none,NA,NA
19,6,259,none,NA,NA
20,6,260,none,NA,NA
21,6,261,none,NA,NA
22,6,262,none,NA,NA
23,6,263,none,NA,NA
24,6,264,none,NA,NA
25,6,265,none,NA,NA
26,6,266,none,NA,NA
27,6,267,none,NA,NA
28,6,268,none,NA,NA
29,6,269,none,NA,NA
30,6,270,none,NA,NA
31,6,271,none,NA,NA
32,6,272,none,NA,NA
33,6,273,none,NA,NA
34,6,274,none,NA,NA
