x,y,name
2,3,Alaska
9,3.5,Hawaii
3,13,Calif.
1,23,Ore.
3,27,Wash.
6,27,Idaho
7,16,Ariz.
10.5,16.5,N.M.
15,14.5,Okla.
4.5,21,Nev.
7.5,20,Utah
11,20,Colo.
10,24,Wyo.
10,27,Mont.
14,24,S.D.
14,27,N.D.
18,27,Minn.
15,21,Neb.
15,17.5,Kan.
13,10,Texas
19,8,La.
19,12.5,Ark.
19,16,Mo.
18.5,21,Iowa
22,24,Wis.
22.5,8,Miss.
24,11.5,Tenn.
22.5,20,Ill.
26,19,Ind.
30,19,Ohio
27,24.5,Mich.
28.5,14.5,Ky.
26,8,Ala.
30,9,Ga.
36,3,Fla.
36,7.5,S.C.
36,10.5,N.C.
33,17,W.Va.
36.5,13.5,Va.
42,12,D.C.
44.5,13,Del.
40.5,15.5,Md.
36,20,Pa.
43,19,N.J
37,24,N.Y.
42,24.5,Conn.
46,24.5,R.I.
43,27.5,Mass.
39.5,30,Vt.
43.5,30.5,N.H.
46.5,32,Maine
